,video_name,model,prompt,framerate,frame,outcome_prediction,outcome_prediction_numeric,true_outcome
0,11_final.mp4,llavallama3,B,3,0,Well,0,1
1,12_final.mp4,llavallama3,B,3,0,Well,0,1
2,14_final.mp4,llavallama3,B,3,0,Well,0,1
3,15_final.mp4,llavallama3,B,3,0,Well,0,1
4,19_final.mp4,llavallama3,B,3,0,Well,0,0
5,21_final.mp4,llavallama3,B,3,0,Well,0,0
6,22_final.mp4,llavallama3,B,3,0,Well,0,1
7,24_final.mp4,llavallama3,B,3,0,Well,0,0
8,29_final.mp4,llavallama3,B,3,0,Well,0,1
9,30_final.mp4,llavallama3,B,3,0,Well,0,1
10,31_final.mp4,llavallama3,B,3,0,Well,0,1
11,33_final.mp4,llavallama3,B,3,0,Well,0,0
12,34_final.mp4,llavallama3,B,3,0,Poorly,1,1
13,40_final.mp4,llavallama3,B,3,0,Well,0,1
14,41_final.mp4,llavallama3,B,3,0,Well,0,0
15,44_final.mp4,llavallama3,B,3,0,Well,0,0
16,46_final.mp4,llavallama3,B,3,0,Well,0,0
17,48_final.mp4,llavallama3,B,3,0,Well,0,0
18,49_final.mp4,llavallama3,B,3,0,Poorly,1,0
19,50_final.mp4,llavallama3,B,3,0,Well,0,0
20,52_final.mp4,llavallama3,B,3,0,Well,0,0
21,53_final.mp4,llavallama3,B,3,0,Well,0,0
22,54_final.mp4,llavallama3,B,3,0,Well,0,0
23,55_final.mp4,llavallama3,B,3,0,Well,0,0
24,57_final.mp4,llavallama3,B,3,0,Well,0,0
25,59_final.mp4,llavallama3,B,3,0,Well,0,0
26,60_final.mp4,llavallama3,B,3,0,Well,0,0
27,6_final.mp4,llavallama3,B,3,0,Well,0,1
28,7_final.mp4,llavallama3,B,3,0,Well,0,1
29,9_final.mp4,llavallama3,B,3,0,Poorly,1,1
30,11_final.mp4,deepseek_ocr,B,3,0,Well,0,1
31,12_final.mp4,deepseek_ocr,B,3,0,Well,0,1
32,14_final.mp4,deepseek_ocr,B,3,0,Well,0,1
33,15_final.mp4,deepseek_ocr,B,3,0,Well,0,1
34,19_final.mp4,deepseek_ocr,B,3,0,Well,0,0
35,21_final.mp4,deepseek_ocr,B,3,0,Well,0,0
36,22_final.mp4,deepseek_ocr,B,3,0,Well,0,1
37,24_final.mp4,deepseek_ocr,B,3,0,Well,0,0
38,29_final.mp4,deepseek_ocr,B,3,0,Well,0,1
39,30_final.mp4,deepseek_ocr,B,3,0,Well,0,1
40,31_final.mp4,deepseek_ocr,B,3,0,Well,0,1
41,33_final.mp4,deepseek_ocr,B,3,0,Well,0,0
42,34_final.mp4,deepseek_ocr,B,3,0,Well,0,1
43,40_final.mp4,deepseek_ocr,B,3,0,Well,0,1
44,41_final.mp4,deepseek_ocr,B,3,0,Well,0,0
45,44_final.mp4,deepseek_ocr,B,3,0,Well,0,0
46,46_final.mp4,deepseek_ocr,B,3,0,Well,0,0
47,48_final.mp4,deepseek_ocr,B,3,0,Well,0,0
48,49_final.mp4,deepseek_ocr,B,3,0,Well,0,0
49,50_final.mp4,deepseek_ocr,B,3,0,Well,0,0
50,52_final.mp4,deepseek_ocr,B,3,0,Well,0,0
51,53_final.mp4,deepseek_ocr,B,3,0,Well,0,0
52,54_final.mp4,deepseek_ocr,B,3,0,Well,0,0
53,55_final.mp4,deepseek_ocr,B,3,0,Well,0,0
54,57_final.mp4,deepseek_ocr,B,3,0,Well,0,0
55,59_final.mp4,deepseek_ocr,B,3,0,Well,0,0
56,60_final.mp4,deepseek_ocr,B,3,0,Well,0,0
57,6_final.mp4,deepseek_ocr,B,3,0,Well,0,1
58,7_final.mp4,deepseek_ocr,B,3,0,Well,0,1
59,9_final.mp4,deepseek_ocr,B,3,0,Well,0,1
60,11_final.mp4,gemma3,B,3,0,Poorly,1,1
61,12_final.mp4,gemma3,B,3,0,Poorly,1,1
62,14_final.mp4,gemma3,B,3,0,Poorly,1,1
63,15_final.mp4,gemma3,B,3,0,Poorly,1,1
64,19_final.mp4,gemma3,B,3,0,Poorly,1,0
65,21_final.mp4,gemma3,B,3,0,Poorly,1,0
66,22_final.mp4,gemma3,B,3,0,Poorly,1,1
67,24_final.mp4,gemma3,B,3,0,Poorly,1,0
68,29_final.mp4,gemma3,B,3,0,Poorly,1,1
69,30_final.mp4,gemma3,B,3,0,Poorly,1,1
70,31_final.mp4,gemma3,B,3,0,Poorly,1,1
